Name                                                            Location       Status
--------------------------------------------------------------  -------------  ---------
A100VM_group                                                    australiaeast  Succeeded
NetworkWatcherRG                                                australiaeast  Succeeded
azureapp-auto-alerts-4be8d5-admin_MngEnv183724_onmicrosoft_com  eastus         Succeeded
Default-ActivityLogAlerts                                       eastus         Succeeded
davidai-di                                                      eastus         Succeeded
rg-david-med-eastus                                             eastus         Succeeded
rg-llm-memory-new                                               eastus         Succeeded
ContentSafetyRG                                                 eastus         Succeeded
H100VM_group                                                    koreacentral   Succeeded
winvm                                                           koreacentral   Succeeded
AzureBackupRG_koreacentral_1                                    koreacentral   Succeeded
stargate                                                        koreacentral   Succeeded
rg-aifoundry6206                                                koreacentral   Succeeded
rg-korea-classb                                                 koreacentral   Succeeded
aoai-eastus2                                                    eastus2        Succeeded
rg-admin-2854                                                   eastus2        Succeeded
rg-admin-4171                                                   eastus2        Succeeded
rg-admin-1040                                                   eastus2        Succeeded
rg-david-med                                                    eastus2        Succeeded
rg-llm-estimator-11051002                                       eastus2        Succeeded
rg-toolbox-demo                                                 eastus2        Succeeded
rg-admin-6278                                                   eastus2        Succeeded
vmgpu_group                                                     southeastasia  Succeeded
ResourceMoverRG-koreacentral-eastasia-sea                       southeastasia  Succeeded
ResourceMoverRG-japanwest-eastasia-sea                          southeastasia  Succeeded
ResourceMoverRG-japaneast-eastasia-sea                          southeastasia  Succeeded
linuxworkvm-sg-rg                                               southeastasia  Succeeded
rg-nc-a100-test                                                 southeastasia  Succeeded
A100VM_SEA                                                      southeastasia  Succeeded
cloud-shell-storage-southeastasia                               southeastasia  Succeeded
AzureBackupRG_japanwest_1                                       japanwest      Succeeded
winvm-eastasia                                                  eastasia       Succeeded
AzureBackupRG_eastasia_1                                        eastasia       Succeeded
winvm-eastasia-japaneast-eastasia                               eastasia       Succeeded
VM-Automation-RG                                                eastasia       Succeeded
XIAOYUNVM-RG                                                    eastasia       Succeeded
ResourceMoverRG-eastasia-japaneast-jpe                          japaneast      Succeeded
winvm-eastasia-japaneast                                        japaneast      Succeeded
rg-agent-workshop                                               swedencentral  Succeeded
rg-drill-e2e                                                    swedencentral  Succeeded
1a10vm_group                                                    canadacentral  Succeeded
rg-medimg-canada                                                canadacentral  Succeeded
rg-davidshare-MedImageParse                                     canadacentral  Succeeded
rg-davidshare-MedImageParse1111                                 canadacentral  Succeeded
rg-test-final                                                   canadacentral  Succeeded
rg-test-final1112                                               canadacentral  Succeeded
tts-grid-test-rg                                                canadacentral  Succeeded
rg-llm-estimator-11051016                                       canadaeast     Succeeded
