task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,6.312222402298363,6.312222402298364,results/baseline/primary/repeat-0/HumanEval_0.json,results/dflash15/primary/repeat-0/HumanEval_0.json,5421341340a55d1e6772a93bb49fe62ed9c3be0bd6410d13fa4d119e8da07271,e2f00c4d1c6e402a42a584038db4f72356ababfdf80ae49bd8305e4d05000855
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,6.888423344606547,6.888423344606547,results/baseline/primary/repeat-0/HumanEval_1.json,results/dflash15/primary/repeat-0/HumanEval_1.json,c3c75501db9ff8a20faffa36e3e2d3631dac97c60a75217321e68d4f3f73e1ae,38c06392f87f2b2e612ac7f56b3bd507fc44fa780a22a7d3e94c558833f9fd6c
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,7.338939341175566,7.338939341175565,results/baseline/primary/repeat-0/HumanEval_2.json,results/dflash15/primary/repeat-0/HumanEval_2.json,502fbcee56b843fdf5ff5555306f2701c81d6dc82f8ef0bf5b31dfccbb907bbc,3f09dcaea31f584ed5a8604c119dda1b61217f0811ed28fec80cb0c855f6758e
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,7.264704342485388,7.264704342485387,results/baseline/primary/repeat-0/HumanEval_3.json,results/dflash15/primary/repeat-0/HumanEval_3.json,588340e8d0e151e911a9f92c75ad1b5dd6272523e82c01424ac5042c457b9098,3340cbade0ed9d35b025cce5b904c8615324ffe16d15e673014c8b3e3a7d48b9
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,7.388445835625565,7.388445835625565,results/baseline/primary/repeat-0/HumanEval_4.json,results/dflash15/primary/repeat-0/HumanEval_4.json,6121bb505ce8eb114faa08a944de92661464a15c7c4d48f8eee22392d3ff4c4a,fb75b297698a6810c1ea95bbd4b6606a591997c150c15434ce8b216d9d509c59
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,6.901064363252798,6.901064363252798,results/baseline/primary/repeat-0/HumanEval_5.json,results/dflash15/primary/repeat-0/HumanEval_5.json,1d024b4bcce9f79383405c4ada110d1ece12aeaecaf98afd57239afc71528d09,8e61a1e80364c2540dee668f25432f06ee76ddec926b476c74a3a2171b04be03
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,7.269487013902186,7.269487013902186,results/baseline/primary/repeat-0/HumanEval_6.json,results/dflash15/primary/repeat-0/HumanEval_6.json,fed865312a36d450097fd80125f4066d6a3a08d99e1d1306961be1a2a9c303da,cc06d4cc53ea6ac1178e4a060998dbd7f2e5a81d7fa3084ef3499eb01496316a
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,6.986802598171721,6.986802598171721,results/baseline/primary/repeat-0/HumanEval_7.json,results/dflash15/primary/repeat-0/HumanEval_7.json,9032591c495e5bb8a47afc198e53209e8016ead3cf68de0c126d7fa983f1a062,7a14ef52da610e749b1065cfff813d7f4d9c38c6baaa53e0b03e17f663ec15e8
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,7.563157577332446,7.563157577332446,results/baseline/primary/repeat-0/HumanEval_8.json,results/dflash15/primary/repeat-0/HumanEval_8.json,80eb8ec6a6342a5ee6e14528739a76380af47e410c0bf67d9c1e4c82bef51293,f24a5b9ee0973645e06d2a334948e3b52e5c5dcff3eb7b78ecae42c9ba9c2e02
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,7.963109824114063,7.963109824114063,results/baseline/primary/repeat-0/HumanEval_9.json,results/dflash15/primary/repeat-0/HumanEval_9.json,f0e83050e8df06587e87d861ab88c1c3d03b6883e34eba586b20cd532dd8f6ae,68aa97e3a3a16d094368a2f194d0b4018ac67a38011aad7e80e531df3e5d6755
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,315,342,4.135884719045155,4.490389123534739,results/baseline/primary/repeat-0/HumanEval_10.json,results/dflash15/primary/repeat-0/HumanEval_10.json,e6f3547e85023b9c1e71ba49baee53ae08018d3a2e3e126ab419324fff7fea46,ba664bf5fbd2edc2c91b659996aaa796c6719624e9921edb267db3bfd7aabbbe
HumanEval/11,humaneval_plus,0,True,True,True,stop,stop,140,140,6.980449523722572,6.980449523722571,results/baseline/primary/repeat-0/HumanEval_11.json,results/dflash15/primary/repeat-0/HumanEval_11.json,6add5db31ca938a2dbb9ef9c43542ecee03ec12db92a0ca26b737cb4b159b40f,167b65ae3c8103448ef56f69c8ace97e5c17f2124d80726a57c826fc8e507e27
