Epoch,Iter,FP32_Time,FP16_Time,FA2_Time,FP32_Loss,FP16_Loss,FA2_Loss,FP32_Grad,FP16_Grad,FA2_Grad,FP16_Speedup_vs_FP32,FA2_Speedup_vs_FP32,FA2_Speedup_vs_FP16
1,30,4.0810,3.2420,3.1590,181.5931,150.8363,135.8908,116.2406,149.3243,136.2294,1.2588,1.2919,1.0263
1,60,4.1090,3.2530,3.1660,169.4075,136.6433,131.7763,99.5605,143.8967,140.0851,1.2631,1.2979,1.0275
1,90,4.0990,3.2500,3.1640,159.9879,136.6159,136.5391,90.1841,204.0708,222.1129,1.2612,1.2955,1.0272
1,120,4.1120,3.2560,3.1670,145.6863,124.0471,120.2449,83.0564,199.2169,192.1983,1.2629,1.2984,1.0281
1,150,4.1090,3.2600,3.1730,142.8502,123.6938,120.4725,82.3920,173.3305,190.9209,1.2604,1.2950,1.0274
1,180,4.0910,3.2450,3.1640,138.8923,120.6804,118.5902,79.0219,205.9468,216.4642,1.2607,1.2930,1.0256
1,210,4.1090,3.2670,3.1860,139.6176,118.0388,115.7081,82.6259,241.4540,253.6321,1.2577,1.2897,1.0254
1,240,4.0930,3.2430,3.1580,132.2878,113.8023,113.0079,90.3885,280.7167,235.6484,1.2621,1.2961,1.0269
1,270,4.0960,3.2480,3.1650,128.3956,115.6600,113.7846,93.6699,276.5438,241.6231,1.2611,1.2942,1.0262
1,300,4.1010,3.2520,3.1730,136.6335,111.9468,111.7592,95.6869,284.9835,232.8359,1.2611,1.2925,1.0249
1,320,4.1000,3.2430,3.1620,127.7051,110.4989,109.5765,85.0329,245.0236,179.1244,1.2643,1.2966,1.0256
2,30,4.1210,3.2690,3.1810,121.7685,107.3129,106.6046,72.4404,278.2951,215.8367,1.2606,1.2955,1.0277
2,120,4.1030,3.2670,3.1840,123.3389,109.9397,111.1854,76.3853,327.8670,240.7946,1.2559,1.2886,1.0261
2,180,4.1230,3.2640,3.1880,122.7993,105.9082,103.9146,71.4958,259.4055,253.8782,1.2632,1.2933,1.0238
2,210,4.1320,3.2890,3.2000,125.0492,109.3650,105.5175,74.8194,219.5156,213.3072,1.2563,1.2912,1.0278
2,240,4.0930,3.2610,3.1790,118.5476,103.8925,103.5033,86.4410,275.3771,303.6022,1.2551,1.2875,1.0258
2,270,4.1260,3.2820,3.2030,116.8171,109.0450,103.5977,89.7791,250.9755,257.5361,1.2572,1.2882,1.0247
2,300,4.1120,3.2640,3.1780,116.8618,105.5557,101.2409,90.6016,366.7631,257.0582,1.2598,1.2939,1.0271
3,30,4.1130,3.2780,3.1880,113.8214,95.4195,93.6210,75.1731,267.2990,260.7888,1.2547,1.2902,1.0282
3,60,4.1090,3.2860,3.1910,113.2496,96.1115,93.4258,78.2875,238.3504,226.6773,1.2505,1.2877,1.0298
3,120,4.1070,3.2810,3.1890,111.0141,95.8058,93.2871,77.7834,245.3785,270.6278,1.2518,1.2879,1.0288
3,150,4.0960,3.2700,3.1750,117.8941,92.2737,91.5181,78.6664,288.3184,282.5971,1.2526,1.2901,1.0299
3,180,4.0970,3.2730,3.1890,113.2854,93.3897,94.1585,85.7020,284.1997,267.2587,1.2518,1.2847,1.0263
3,240,4.1090,3.2720,3.1830,111.7131,94.5392,92.2130,91.1653,262.2098,255.1396,1.2558,1.2909,1.0280
3,270,4.1160,3.2950,3.2050,107.7955,88.9206,89.0171,92.5622,260.4068,250.6828,1.2492,1.2842,1.0281
3,300,4.1180,3.2840,3.2000,104.9617,83.0977,84.3220,89.5342,223.2512,238.7271,1.2540,1.2869,1.0262
3,320,4.1070,3.2700,3.1810,105.2637,91.0997,89.5690,86.9339,224.4573,243.7501,1.2560,1.2911,1.0280
4,30,4.1330,3.2940,3.2070,109.2756,86.2041,85.7230,82.3704,237.1392,261.4067,1.2547,1.2887,1.0271
4,60,4.1210,3.2820,3.1860,110.2521,92.1744,90.8877,79.8355,264.2612,264.0964,1.2556,1.2935,1.0301
4,180,4.1270,3.2780,3.1870,108.2104,89.2761,90.1583,85.6995,237.1553,268.0907,1.2590,1.2949,1.0286
4,210,4.1400,3.2880,3.2040,105.4146,79.4560,79.7864,84.0673,270.6225,225.2706,1.2591,1.2921,1.0262
4,300,4.1250,3.2810,3.2020,103.9244,83.7580,80.4453,80.0687,213.3981,199.0873,1.2572,1.2883,1.0247
