Epoch,Iter,FP32_Time,FP16_Time,FA2_Time,FP16_Speedup_vs_FP32,FA2_Speedup_vs_FP32,FA2_Speedup_vs_FP16,FP32_Loss,FP16_Loss,FA2_Loss,FP32_Grad,FP16_Grad,FA2_Grad
1,20,4.0540,3.2320,3.1500,1.2543,1.2870,1.0260,190.5401,174.5119,145.7848,122.6251,173.3303,154.3447
1,30,4.0810,3.2420,3.1590,1.2588,1.2919,1.0263,181.5931,150.8363,135.8908,116.2406,149.3243,136.2294
1,40,4.1120,3.3060,3.1670,1.2438,1.2984,1.0439,170.5465,135.5987,129.5643,107.8331,146.2145,157.4763
1,50,4.1630,3.2540,3.2230,1.2793,1.2917,1.0096,167.2526,136.2219,130.8452,102.8330,141.5253,132.6715
1,60,4.1090,3.2530,3.1660,1.2631,1.2979,1.0275,169.4075,136.6433,131.7763,99.5605,143.8967,140.0851
1,70,4.0850,3.2420,3.1550,1.2600,1.2948,1.0276,156.6869,127.8386,126.9635,97.9088,143.9184,145.0748
1,80,4.1190,3.2550,3.1690,1.2654,1.2998,1.0271,158.8911,131.0344,129.1058,94.4953,157.1107,152.5225
1,90,4.0990,3.2500,3.1640,1.2612,1.2955,1.0272,159.9879,136.6159,136.5391,90.1841,204.0708,222.1129
1,100,4.0990,3.2470,3.1640,1.2624,1.2955,1.0262,151.3782,125.6503,121.9295,88.2758,167.9061,165.5547
1,120,4.1120,3.2560,3.1670,1.2629,1.2984,1.0281,145.6863,124.0471,120.2449,83.0564,199.2169,192.1983
1,130,4.1030,3.2620,3.1720,1.2578,1.2935,1.0284,144.7807,123.1638,120.6459,83.2952,197.4530,195.0856
1,140,4.0980,3.2540,3.1660,1.2594,1.2944,1.0278,139.2068,122.0235,119.3938,83.1368,215.3952,217.1383
1,150,4.1090,3.2600,3.1730,1.2604,1.2950,1.0274,142.8502,123.6938,120.4725,82.3920,173.3305,190.9209
1,160,4.1080,3.2440,3.1620,1.2663,1.2992,1.0259,143.8343,128.7427,124.4843,82.7820,219.2608,244.7124
